,i,j
0,0,6
1,0,63
2,0,238
3,0,344
4,0,532
5,0,924
6,1,131
7,1,136
8,1,388
9,1,496
10,1,514
11,1,620
12,1,765
13,1,883
14,1,919
15,2,162
16,2,175
17,2,476
18,2,547
19,2,574
20,2,683
21,2,995
22,3,334
23,3,513
24,3,812
25,3,892
26,4,184
27,4,189
28,4,330
29,4,640
30,4,936
31,4,947
32,5,16
33,5,56
34,5,158
35,5,179
36,5,309
37,5,646
38,5,762
39,5,797
40,5,923
41,5,975
42,6,24
43,6,90
44,6,123
45,6,252
46,6,324
47,6,451
48,6,477
49,6,500
50,6,586
51,6,628
52,6,691
53,6,900
54,6,911
55,7,8
56,7,264
57,7,458
58,7,613
59,7,631
60,7,711
61,8,159
62,8,572
63,8,728
64,8,746
65,8,781
66,8,890
67,8,898
68,9,113
69,9,584
70,9,618
71,9,934
72,9,951
73,10,128
74,10,166
75,10,440
76,10,795
77,10,810
78,10,897
79,11,205
80,11,400
81,11,414
82,11,419
83,11,438
84,11,639
85,11,661
86,11,809
87,11,861
88,11,905
89,11,915
90,11,950
91,12,261
92,12,275
93,12,562
94,12,737
95,12,987
96,13,630
97,14,154
98,14,450
99,14,459
100,14,493
101,14,661
102,14,673
103,14,782
104,14,882
105,15,86
106,15,103
107,15,179
108,15,218
109,15,259
110,15,504
111,15,708
112,15,815
113,16,312
114,16,524
115,16,728
116,16,913
117,17,85
118,17,171
119,17,361
120,17,515
121,17,839
122,17,850
123,18,30
124,18,529
125,18,574
126,18,683
127,18,743
128,18,852
129,19,79
130,19,88
131,19,563
132,19,565
133,20,144
134,20,179
135,20,329
136,20,422
137,20,536
138,20,564
139,20,639
140,20,665
141,20,682
142,21,387
143,21,395
144,21,713
145,21,789
146,21,802
147,21,884
148,21,964
149,21,977
150,22,198
151,22,218
152,22,258
153,22,436
154,22,455
155,22,504
156,22,526
157,22,624
158,22,806
159,22,885
160,22,906
161,23,116
162,23,233
163,23,373
164,23,478
165,23,581
166,23,588
167,23,640
168,23,688
169,23,833
170,24,39
171,24,441
172,24,453
173,24,455
174,24,469
175,24,691
176,24,705
177,24,817
178,24,959
179,24,973
180,24,990
181,25,97
182,25,127
183,25,222
184,26,71
185,26,181
186,26,461
187,26,745
188,26,784
189,27,483
190,27,551
191,27,839
192,28,111
193,28,249
194,28,319
195,29,35
196,29,137
197,29,150
198,29,155
199,29,201
200,29,699
201,29,908
202,30,46
203,30,95
204,30,102
205,30,162
206,30,372
207,30,529
208,30,748
209,30,902
210,30,995
211,31,91
212,31,145
213,31,149
214,31,173
215,31,187
216,31,388
217,31,447
218,31,525
219,31,744
220,31,766
221,31,784
222,31,910
223,31,926
224,32,210
225,32,457
226,32,491
